년월,거시경제/금융정책,경제이론/학술,금융시스템/위기,기업경영/리더십,미분류,부동산/실물자산,재테크/개인금융,주식투자/트레이딩,지정학/국제정세,테크/스타트업,투자철학/대가
2025-01,421,75,15,1247,204,755,65,977,280,715,31
2025-02,329,59,17,1141,234,817,89,1070,417,795,48
2025-03,371,77,23,1186,231,910,112,1214,492,728,83
2025-04,361,69,12,1151,249,835,97,1187,745,729,57
2025-05,365,73,26,1175,191,815,96,1045,422,701,29
2025-06,303,96,21,906,214,870,89,1094,418,693,37
2025-07,349,88,33,1166,271,991,103,1248,482,772,58
2025-08,302,89,16,1307,175,769,93,1102,420,743,49
2025-09,392,109,14,1176,271,1014,102,1309,381,931,58
2025-10,362,86,17,1021,183,925,78,1258,375,1016,53
2025-11,356,84,14,1266,199,792,114,1372,287,1070,42
2025-12,468,94,12,1225,222,896,112,1302,262,1027,51
