,거시경제/금융정책,경제이론/학술,금융시스템/위기,기업경영/리더십,부동산/실물자산,재테크/개인금융,주식투자/트레이딩,지정학/국제정세,테크/스타트업,투자철학/대가
2025-01,9.910918110644362,-7.651596396155354,-3.2079852635375348,-1.2324229526140638,-6.02624247391682,-4.219500251098921,-6.294413881816762,-2.6200870087518897,-3.156006635324428,-2.0958786747623024
2025-02,-21.964015865087095,90.12346906000971,-0.3285053362025887,5.281082964036061,6.187415338755405,35.03854230293516,2.984138202926846,13.654807904042313,4.950373321046703,15.324999099264259
2025-03,-3.850776537570342,-14.940564287369586,9.828632339835416,4.513801245191209,5.06303562385604,3.965175307347063,13.596278745600193,11.656238325561223,-4.071100966093527,78.60526981761787
2025-04,3.9509090976147245,13.077948061664786,3.8484952364976786,-3.982487577003498,-0.9734130275101774,-24.05607749766692,-0.5456409353213297,38.565118020921254,-6.0779016817581155,-35.013423970665805
2025-05,-11.502365226876574,-2.6013522483167404,11.485308422514429,-10.729999915693508,-9.270698062926796,19.48663024721208,-13.02671465564295,-22.98333703799083,-3.4921304327284535,-25.90983434795757
2025-06,0.08057442853183305,-3.4948338951673845,-9.789981953650676,-24.15463490619007,-5.187691739367883,-13.16123561186833,-5.517941542484141,-16.019094944632613,-11.985482238938229,0.6796147462903321
2025-07,6.589176707721277,26.370257737382577,12.077400287480097,13.15707376090676,17.15205628179599,32.50819388604797,13.405349041402832,18.00982050887196,15.598056083693448,13.685252892285034
2025-08,-8.64923105123435,-38.96107838330058,-35.19819211550013,6.0867892947992575,-7.908060149512637,-15.001501605661709,-8.372710721114,-7.439063452598928,-3.8440383082432645,25.1320795692709
2025-09,9.677349377963322,57.85507093977196,25.32860255124154,10.00405807989126,27.483801809401502,-15.687115956971866,10.844671401485542,-9.85305527054502,14.632629514822236,-16.38816015780358
2025-10,-7.503484515274441,-12.173981751530434,0.10453046127496879,-4.143172463636807,1.3513918438078734,-8.998221880989398,0.9635018825460491,6.179181552994878,19.06406651935953,-41.00335298868303
2025-11,-1.3431393477681128,-23.644390805444626,-3.73148165160313,25.439883471523924,-9.465772233337256,17.494266135121048,16.581240541105295,-13.145857582751953,11.333326479745693,18.27201297604799
2025-12,21.058907397133577,26.49168518894462,15.642409624548261,2.7692325655908245,4.73160085952043,4.541428194055205,0.614688050882215,-17.04784225312372,5.893536246567567,71.14922952758502
